"Robbery Location"
"Current date: 3/6/2021 6:57:14 AM (Mountain Standard Time)"
"Incident Date: 2019"
"Jurisdiction by Geography","Offense Type","Number of Crimes",
"Colorado","Crimes Against Person","64,104"
"Colorado","Crimes Against Property","233,807"
"Colorado","Crimes Against Society","42,317"
"Colorado","Missing",""
"Colorado","Non-Reportable NIBRS Offense",""
"Adams County","Crimes Against Person","14,018"
"Adams County","Crimes Against Property","42,278"
"Adams County","Crimes Against Society","7,927"
"Adams County","Missing",""
"Adams County","Non-Reportable NIBRS Offense",""
"Arapahoe County","Crimes Against Person","2,464"
"Arapahoe County","Crimes Against Property","14,185"
"Arapahoe County","Crimes Against Society","1,595"
"Arapahoe County","Missing",""
"Arapahoe County","Non-Reportable NIBRS Offense",""
"Boulder County","Crimes Against Person","3,118"
"Boulder County","Crimes Against Property","12,652"
"Boulder County","Crimes Against Society","1,953"
"Boulder County","Missing",""
"Boulder County","Non-Reportable NIBRS Offense",""
"Denver County","Crimes Against Person","11,904"
"Denver County","Crimes Against Property","37,166"
"Denver County","Crimes Against Society","6,170"
"Denver County","Missing",""
"Denver County","Non-Reportable NIBRS Offense",""
"Douglas County","Crimes Against Person","1,777"
"Douglas County","Crimes Against Property","9,446"
"Douglas County","Crimes Against Society","1,359"
"Douglas County","Missing",""
"Douglas County","Non-Reportable NIBRS Offense",""
"Eagle County","Crimes Against Person","424"
"Eagle County","Crimes Against Property","1,159"
"Eagle County","Crimes Against Society","183"
"Eagle County","Missing",""
"Eagle County","Non-Reportable NIBRS Offense",""
"El Paso County","Crimes Against Person","7,689"
"El Paso County","Crimes Against Property","33,049"
"El Paso County","Crimes Against Society","4,845"
"El Paso County","Missing",""
"El Paso County","Non-Reportable NIBRS Offense",""
"Garfield County","Crimes Against Person","708"
"Garfield County","Crimes Against Property","1,804"
"Garfield County","Crimes Against Society","533"
"Garfield County","Missing",""
"Garfield County","Non-Reportable NIBRS Offense",""
"Jefferson County","Crimes Against Person","5,771"
"Jefferson County","Crimes Against Property","25,620"
"Jefferson County","Crimes Against Society","4,816"
"Jefferson County","Missing",""
"Jefferson County","Non-Reportable NIBRS Offense",""
"Larimer County","Crimes Against Person","2,893"
"Larimer County","Crimes Against Property","11,926"
"Larimer County","Crimes Against Society","2,874"
"Larimer County","Missing",""
"Larimer County","Non-Reportable NIBRS Offense",""
"Mesa County","Crimes Against Person","1,851"
"Mesa County","Crimes Against Property","6,087"
"Mesa County","Crimes Against Society","1,757"
"Mesa County","Missing",""
"Mesa County","Non-Reportable NIBRS Offense",""
"Pueblo County","Crimes Against Person","2,497"
"Pueblo County","Crimes Against Property","9,206"
"Pueblo County","Crimes Against Society","968"
"Pueblo County","Missing",""
"Pueblo County","Non-Reportable NIBRS Offense",""
"Weld County","Crimes Against Person","2,788"
"Weld County","Crimes Against Property","8,269"
"Weld County","Crimes Against Society","2,266"
"Weld County","Missing",""
"Weld County","Non-Reportable NIBRS Offense",""
"Broomfield County","Crimes Against Person","371"
"Broomfield County","Crimes Against Property","3,243"
"Broomfield County","Crimes Against Society","565"
"Broomfield County","Missing",""
"Broomfield County","Non-Reportable NIBRS Offense",""
