"NIBRS Crimes and Rates by County - Last 3 Years"
"Current date: 3/6/2021 3:56:30 PM (Mountain Standard Time)"
"Measures: Number of Crimes"
"Jurisdiction by Geography","Incident Date","Number of Crimes",
"Colorado","2021","49,352"
"Colorado","2020","353,367"
"Colorado","2019","340,228"
"Adams County","2021","10,647"
"Adams County","2020","67,538"
"Adams County","2019","64,223"
"Alamosa County","2021","124"
"Alamosa County","2020","1,164"
"Alamosa County","2019","1,313"
"Arapahoe County","2021","1,642"
"Arapahoe County","2020","19,812"
"Arapahoe County","2019","18,244"
"Archuleta County","2021","13"
"Archuleta County","2020","128"
"Archuleta County","2019","503"
"Baca County","2021",""
"Baca County","2020","12"
"Baca County","2019","52"
"Bent County","2021","16"
"Bent County","2020","241"
"Bent County","2019","339"
"Boulder County","2021","2,917"
"Boulder County","2020","19,266"
"Boulder County","2019","17,723"
"Chaffee County","2021","46"
"Chaffee County","2020","601"
"Chaffee County","2019","482"
"Cheyenne County","2021",""
"Cheyenne County","2020","17"
"Cheyenne County","2019","20"
"Clear Creek County","2021","58"
"Clear Creek County","2020","434"
"Clear Creek County","2019","346"
"Conejos County","2021","6"
"Conejos County","2020","115"
"Conejos County","2019","31"
"Costilla County","2021",""
"Costilla County","2020",""
"Costilla County","2019",""
"Crowley County","2021",""
"Crowley County","2020","176"
"Crowley County","2019","138"
"Custer County","2021","22"
"Custer County","2020","263"
"Custer County","2019","206"
"Delta County","2021","232"
"Delta County","2020","1,546"
"Delta County","2019","1,252"
"Denver County","2021","12,737"
"Denver County","2020","63,146"
"Denver County","2019","55,240"
"Dolores County","2021",""
"Dolores County","2020","21"
"Dolores County","2019","36"
"Douglas County","2021","1,932"
"Douglas County","2020","13,966"
"Douglas County","2019","12,582"
"Eagle County","2021","313"
"Eagle County","2020","1,458"
"Eagle County","2019","1,766"
"Elbert County","2021","22"
"Elbert County","2020","134"
"Elbert County","2019","133"
"El Paso County","2021","6,978"
"El Paso County","2020","44,492"
"El Paso County","2019","45,583"
"Fremont County","2021","235"
"Fremont County","2020","2,416"
"Fremont County","2019","2,517"
