"NIBRS Crimes and Rates by County - Last 3 Years"
"Current date: 3/8/2021 6:23:35 AM (Mountain Standard Time)"
"Offense Type","Jurisdiction by Geography","Incident Date","Number of Crimes",
"Crimes Against Person","Boulder County","2019","3,118"
"Crimes Against Person","Boulder County","2020","3,252"
"Murder and Nonnegligent Manslaughter","Boulder County","2019","3"
"Murder and Nonnegligent Manslaughter","Boulder County","2020","4"
"Negligent Manslaughter","Boulder County","2019","1"
"Negligent Manslaughter","Boulder County","2020","1"
"Justifiable Homicide","Boulder County","2019",""
"Justifiable Homicide","Boulder County","2020",""
"Kidnapping/Abduction","Boulder County","2019","115"
"Kidnapping/Abduction","Boulder County","2020","124"
"Rape","Boulder County","2019","201"
"Rape","Boulder County","2020","144"
"Sodomy","Boulder County","2019","20"
"Sodomy","Boulder County","2020","23"
"Sexual Assault With An Object","Boulder County","2019","16"
"Sexual Assault With An Object","Boulder County","2020","8"
"Fondling","Boulder County","2019","129"
"Fondling","Boulder County","2020","99"
"Incest","Boulder County","2019","1"
"Incest","Boulder County","2020","1"
"Statutory Rape","Boulder County","2019","1"
"Statutory Rape","Boulder County","2020","6"
"Aggravated Assault","Boulder County","2019","546"
"Aggravated Assault","Boulder County","2020","640"
"Simple Assault","Boulder County","2019","1,736"
"Simple Assault","Boulder County","2020","1,881"
"Intimidation","Boulder County","2019","349"
"Intimidation","Boulder County","2020","320"
"Human Trafficking, Commercial Sex Acts","Boulder County","2019",""
"Human Trafficking, Commercial Sex Acts","Boulder County","2020","1"
"Human Trafficking, Involuntary Servitude","Boulder County","2019",""
"Human Trafficking, Involuntary Servitude","Boulder County","2020",""
"Crimes Against Property","Boulder County","2019","12,652"
"Crimes Against Property","Boulder County","2020","14,787"
"Arson","Boulder County","2019","63"
"Arson","Boulder County","2020","106"
"Bribery","Boulder County","2019","10"
"Bribery","Boulder County","2020","2"
"Burglary/Breaking & Entering","Boulder County","2019","1,010"
"Burglary/Breaking & Entering","Boulder County","2020","1,317"
"Counterfeiting/Forgery","Boulder County","2019","357"
"Counterfeiting/Forgery","Boulder County","2020","232"
"Destruction/Damage/Vandalism of Property","Boulder County","2019","2,571"
"Destruction/Damage/Vandalism of Property","Boulder County","2020","3,221"
"Embezzlement","Boulder County","2019","6"
"Embezzlement","Boulder County","2020","10"
"Extortion/Blackmail","Boulder County","2019","43"
"Extortion/Blackmail","Boulder County","2020","44"
"False Pretenses/Swindle/Confidence Game","Boulder County","2019","266"
"False Pretenses/Swindle/Confidence Game","Boulder County","2020","366"
"Credit Card/Automated Teller Machine Fraud","Boulder County","2019","322"
"Credit Card/Automated Teller Machine Fraud","Boulder County","2020","282"
"Impersonation","Boulder County","2019","197"
"Impersonation","Boulder County","2020","138"
"Welfare Fraud","Boulder County","2019",""
"Welfare Fraud","Boulder County","2020",""
"Wire Fraud","Boulder County","2019","26"
"Wire Fraud","Boulder County","2020","25"
"Identity Theft","Boulder County","2019","490"
"Identity Theft","Boulder County","2020","932"
"Hacking/Computer Invasion","Boulder County","2019","29"
"Hacking/Computer Invasion","Boulder County","2020","48"
"Robbery","Boulder County","2019","85"
"Robbery","Boulder County","2020","139"
"Pocket-picking","Boulder County","2019","3"
"Pocket-picking","Boulder County","2020","2"
"Purse-snatching","Boulder County","2019","1"
"Purse-snatching","Boulder County","2020","2"
"Shoplifting","Boulder County","2019","926"
"Shoplifting","Boulder County","2020","667"
"Theft From Building","Boulder County","2019","203"
"Theft From Building","Boulder County","2020","88"
"Theft From Coin Operated Machine or Device","Boulder County","2019","21"
"Theft From Coin Operated Machine or Device","Boulder County","2020","18"
"Theft From Motor Vehicle","Boulder County","2019","1,143"
"Theft From Motor Vehicle","Boulder County","2020","1,690"
"Theft of Motor Vehicle Parts/Accessories","Boulder County","2019","191"
"Theft of Motor Vehicle Parts/Accessories","Boulder County","2020","206"
"All Other Larceny","Boulder County","2019","3,919"
"All Other Larceny","Boulder County","2020","4,162"
"Motor Vehicle Theft","Boulder County","2019","733"
"Motor Vehicle Theft","Boulder County","2020","1,029"
"Stolen Property Offenses","Boulder County","2019","37"
"Stolen Property Offenses","Boulder County","2020","61"
"Crimes Against Society","Boulder County","2019","1,953"
"Crimes Against Society","Boulder County","2020","1,227"
"Drug/Narcotic Violations","Boulder County","2019","1,059"
"Drug/Narcotic Violations","Boulder County","2020","644"
"Drug Equipment Violations","Boulder County","2019","536"
"Drug Equipment Violations","Boulder County","2020","286"
"Betting/Wagering","Boulder County","2019",""
"Betting/Wagering","Boulder County","2020",""
"Operating/Promoting/Assisting Gambling","Boulder County","2019",""
"Operating/Promoting/Assisting Gambling","Boulder County","2020",""
"Gambling Equipment Violations","Boulder County","2019",""
"Gambling Equipment Violations","Boulder County","2020",""
"Sports Tampering","Boulder County","2019",""
"Sports Tampering","Boulder County","2020",""
"Pornography/Obscene Material","Boulder County","2019","32"
"Pornography/Obscene Material","Boulder County","2020","39"
"Prostitution","Boulder County","2019","5"
"Prostitution","Boulder County","2020","3"
"Assisting or Promoting Prostitution","Boulder County","2019","3"
"Assisting or Promoting Prostitution","Boulder County","2020","2"
"Purchasing Prostitution","Boulder County","2019","2"
"Purchasing Prostitution","Boulder County","2020",""
"Weapon Law Violations","Boulder County","2019","144"
"Weapon Law Violations","Boulder County","2020","146"
"Animal Cruelty","Boulder County","2019","172"
"Animal Cruelty","Boulder County","2020","107"
