"Violent Crime Trends"
"Current date: 3/8/2021 3:15:59 PM (Mountain Standard Time)"
"Measures: Number of Crimes"
"Offense Type","Jurisdiction by Geography","Incident Date","Number of Crimes",
"Crimes Against Person","Boulder Police Department","2019","1,017"
"Crimes Against Person","Boulder Police Department","2020","1,101"
"Murder and Nonnegligent Manslaughter","Boulder Police Department","2019","1"
"Murder and Nonnegligent Manslaughter","Boulder Police Department","2020","2"
"Negligent Manslaughter","Boulder Police Department","2019","1"
"Negligent Manslaughter","Boulder Police Department","2020","1"
"Justifiable Homicide","Boulder Police Department","2019",""
"Justifiable Homicide","Boulder Police Department","2020",""
"Kidnapping/Abduction","Boulder Police Department","2019","10"
"Kidnapping/Abduction","Boulder Police Department","2020","14"
"Rape","Boulder Police Department","2019","37"
"Rape","Boulder Police Department","2020","26"
"Sodomy","Boulder Police Department","2019","7"
"Sodomy","Boulder Police Department","2020","5"
"Sexual Assault With An Object","Boulder Police Department","2019",""
"Sexual Assault With An Object","Boulder Police Department","2020",""
"Fondling","Boulder Police Department","2019","38"
"Fondling","Boulder Police Department","2020","24"
"Incest","Boulder Police Department","2019",""
"Incest","Boulder Police Department","2020",""
"Statutory Rape","Boulder Police Department","2019","1"
"Statutory Rape","Boulder Police Department","2020","5"
"Aggravated Assault","Boulder Police Department","2019","195"
"Aggravated Assault","Boulder Police Department","2020","240"
"Simple Assault","Boulder Police Department","2019","553"
"Simple Assault","Boulder Police Department","2020","632"
"Intimidation","Boulder Police Department","2019","174"
"Intimidation","Boulder Police Department","2020","152"
"Human Trafficking, Commercial Sex Acts","Boulder Police Department","2019",""
"Human Trafficking, Commercial Sex Acts","Boulder Police Department","2020",""
"Human Trafficking, Involuntary Servitude","Boulder Police Department","2019",""
"Human Trafficking, Involuntary Servitude","Boulder Police Department","2020",""
"Crimes Against Property","Boulder Police Department","2019","4,860"
"Crimes Against Property","Boulder Police Department","2020","6,188"
"Arson","Boulder Police Department","2019","6"
"Arson","Boulder Police Department","2020","35"
"Bribery","Boulder Police Department","2019",""
"Bribery","Boulder Police Department","2020",""
"Burglary/Breaking & Entering","Boulder Police Department","2019","417"
"Burglary/Breaking & Entering","Boulder Police Department","2020","652"
"Counterfeiting/Forgery","Boulder Police Department","2019","58"
"Counterfeiting/Forgery","Boulder Police Department","2020","35"
"Destruction/Damage/Vandalism of Property","Boulder Police Department","2019","836"
"Destruction/Damage/Vandalism of Property","Boulder Police Department","2020","1,138"
"Embezzlement","Boulder Police Department","2019",""
"Embezzlement","Boulder Police Department","2020",""
"Extortion/Blackmail","Boulder Police Department","2019","13"
"Extortion/Blackmail","Boulder Police Department","2020","14"
"False Pretenses/Swindle/Confidence Game","Boulder Police Department","2019","48"
"False Pretenses/Swindle/Confidence Game","Boulder Police Department","2020","46"
"Credit Card/Automated Teller Machine Fraud","Boulder Police Department","2019","91"
"Credit Card/Automated Teller Machine Fraud","Boulder Police Department","2020","91"
"Impersonation","Boulder Police Department","2019","69"
"Impersonation","Boulder Police Department","2020","75"
"Welfare Fraud","Boulder Police Department","2019",""
"Welfare Fraud","Boulder Police Department","2020",""
"Wire Fraud","Boulder Police Department","2019",""
"Wire Fraud","Boulder Police Department","2020",""
"Identity Theft","Boulder Police Department","2019","325"
"Identity Theft","Boulder Police Department","2020","555"
"Hacking/Computer Invasion","Boulder Police Department","2019","9"
"Hacking/Computer Invasion","Boulder Police Department","2020","17"
"Robbery","Boulder Police Department","2019","38"
"Robbery","Boulder Police Department","2020","72"
"Pocket-picking","Boulder Police Department","2019",""
"Pocket-picking","Boulder Police Department","2020",""
"Purse-snatching","Boulder Police Department","2019",""
"Purse-snatching","Boulder Police Department","2020",""
"Shoplifting","Boulder Police Department","2019","279"
"Shoplifting","Boulder Police Department","2020","214"
"Theft From Building","Boulder Police Department","2019",""
"Theft From Building","Boulder Police Department","2020",""
"Theft From Coin Operated Machine or Device","Boulder Police Department","2019",""
"Theft From Coin Operated Machine or Device","Boulder Police Department","2020",""
"Theft From Motor Vehicle","Boulder Police Department","2019","454"
"Theft From Motor Vehicle","Boulder Police Department","2020","822"
"Theft of Motor Vehicle Parts/Accessories","Boulder Police Department","2019","58"
"Theft of Motor Vehicle Parts/Accessories","Boulder Police Department","2020","71"
"All Other Larceny","Boulder Police Department","2019","1,897"
"All Other Larceny","Boulder Police Department","2020","1,965"
"Motor Vehicle Theft","Boulder Police Department","2019","262"
"Motor Vehicle Theft","Boulder Police Department","2020","386"
"Stolen Property Offenses","Boulder Police Department","2019",""
"Stolen Property Offenses","Boulder Police Department","2020",""
"Crimes Against Society","Boulder Police Department","2019","398"
"Crimes Against Society","Boulder Police Department","2020","239"
"Drug/Narcotic Violations","Boulder Police Department","2019","192"
"Drug/Narcotic Violations","Boulder Police Department","2020","103"
"Drug Equipment Violations","Boulder Police Department","2019","14"
"Drug Equipment Violations","Boulder Police Department","2020","6"
"Betting/Wagering","Boulder Police Department","2019",""
"Betting/Wagering","Boulder Police Department","2020",""
"Operating/Promoting/Assisting Gambling","Boulder Police Department","2019",""
