"Robbery Location"
"Current date: 3/6/2021 6:57:49 AM (Mountain Standard Time)"
"Incident Date: 2020"
"Jurisdiction by Geography","Offense Type","Number of Crimes",
"Colorado","Crimes Against Person","64,117"
"Colorado","Crimes Against Property","257,982"
"Colorado","Crimes Against Society","31,268"
"Colorado","Missing",""
"Colorado","Non-Reportable NIBRS Offense",""
"Adams County","Crimes Against Person","14,018"
"Adams County","Crimes Against Property","48,032"
"Adams County","Crimes Against Society","5,488"
"Adams County","Missing",""
"Adams County","Non-Reportable NIBRS Offense",""
"Arapahoe County","Crimes Against Person","2,339"
"Arapahoe County","Crimes Against Property","16,404"
"Arapahoe County","Crimes Against Society","1,069"
"Arapahoe County","Missing",""
"Arapahoe County","Non-Reportable NIBRS Offense",""
"Boulder County","Crimes Against Person","3,252"
"Boulder County","Crimes Against Property","14,787"
"Boulder County","Crimes Against Society","1,227"
"Boulder County","Missing",""
"Boulder County","Non-Reportable NIBRS Offense",""
"Denver County","Crimes Against Person","12,046"
"Denver County","Crimes Against Property","46,766"
"Denver County","Crimes Against Society","4,334"
"Denver County","Missing",""
"Denver County","Non-Reportable NIBRS Offense",""
"Douglas County","Crimes Against Person","1,835"
"Douglas County","Crimes Against Property","10,996"
"Douglas County","Crimes Against Society","1,135"
"Douglas County","Missing",""
"Douglas County","Non-Reportable NIBRS Offense",""
"Eagle County","Crimes Against Person","338"
"Eagle County","Crimes Against Property","1,015"
"Eagle County","Crimes Against Society","105"
"Eagle County","Missing",""
"Eagle County","Non-Reportable NIBRS Offense",""
"El Paso County","Crimes Against Person","8,034"
"El Paso County","Crimes Against Property","32,353"
"El Paso County","Crimes Against Society","4,105"
"El Paso County","Missing",""
"El Paso County","Non-Reportable NIBRS Offense",""
"Garfield County","Crimes Against Person","626"
"Garfield County","Crimes Against Property","1,734"
"Garfield County","Crimes Against Society","533"
"Garfield County","Missing",""
"Garfield County","Non-Reportable NIBRS Offense",""
"Jefferson County","Crimes Against Person","5,312"
"Jefferson County","Crimes Against Property","27,177"
"Jefferson County","Crimes Against Society","3,576"
"Jefferson County","Missing",""
"Jefferson County","Non-Reportable NIBRS Offense",""
"Larimer County","Crimes Against Person","2,428"
"Larimer County","Crimes Against Property","10,845"
"Larimer County","Crimes Against Society","2,137"
"Larimer County","Missing",""
"Larimer County","Non-Reportable NIBRS Offense",""
"Mesa County","Crimes Against Person","2,082"
"Mesa County","Crimes Against Property","7,205"
"Mesa County","Crimes Against Society","1,192"
"Mesa County","Missing",""
"Mesa County","Non-Reportable NIBRS Offense",""
"Pueblo County","Crimes Against Person","2,485"
"Pueblo County","Crimes Against Property","9,650"
"Pueblo County","Crimes Against Society","806"
"Pueblo County","Missing",""
"Pueblo County","Non-Reportable NIBRS Offense",""
"Weld County","Crimes Against Person","3,271"
"Weld County","Crimes Against Property","9,573"
"Weld County","Crimes Against Society","1,642"
"Weld County","Missing",""
"Weld County","Non-Reportable NIBRS Offense",""
"Broomfield County","Crimes Against Person","349"
"Broomfield County","Crimes Against Property","3,418"
"Broomfield County","Crimes Against Society","288"
"Broomfield County","Missing",""
"Broomfield County","Non-Reportable NIBRS Offense",""
