"Violent Crime Trends"
"Current date: 3/8/2021 2:47:15 PM (Mountain Standard Time)"
"Measures: Number of Crimes"
"Offense Type","Jurisdiction by Geography","Incident Date","Number of Crimes",
"Crimes Against Person","University of Colorado - Boulder Police Department","2019","83"
"Crimes Against Person","University of Colorado - Boulder Police Department","2020","44"
"Murder and Nonnegligent Manslaughter","University of Colorado - Boulder Police Department","2019",""
"Murder and Nonnegligent Manslaughter","University of Colorado - Boulder Police Department","2020",""
"Negligent Manslaughter","University of Colorado - Boulder Police Department","2019",""
"Negligent Manslaughter","University of Colorado - Boulder Police Department","2020",""
"Justifiable Homicide","University of Colorado - Boulder Police Department","2019",""
"Justifiable Homicide","University of Colorado - Boulder Police Department","2020",""
"Kidnapping/Abduction","University of Colorado - Boulder Police Department","2019","8"
"Kidnapping/Abduction","University of Colorado - Boulder Police Department","2020","5"
"Rape","University of Colorado - Boulder Police Department","2019","15"
"Rape","University of Colorado - Boulder Police Department","2020","4"
"Sodomy","University of Colorado - Boulder Police Department","2019","2"
"Sodomy","University of Colorado - Boulder Police Department","2020",""
"Sexual Assault With An Object","University of Colorado - Boulder Police Department","2019",""
"Sexual Assault With An Object","University of Colorado - Boulder Police Department","2020",""
"Fondling","University of Colorado - Boulder Police Department","2019",""
"Fondling","University of Colorado - Boulder Police Department","2020",""
"Incest","University of Colorado - Boulder Police Department","2019",""
"Incest","University of Colorado - Boulder Police Department","2020",""
"Statutory Rape","University of Colorado - Boulder Police Department","2019",""
"Statutory Rape","University of Colorado - Boulder Police Department","2020",""
"Aggravated Assault","University of Colorado - Boulder Police Department","2019","5"
"Aggravated Assault","University of Colorado - Boulder Police Department","2020","12"
"Simple Assault","University of Colorado - Boulder Police Department","2019","47"
"Simple Assault","University of Colorado - Boulder Police Department","2020","23"
"Intimidation","University of Colorado - Boulder Police Department","2019","6"
"Intimidation","University of Colorado - Boulder Police Department","2020",""
"Human Trafficking, Commercial Sex Acts","University of Colorado - Boulder Police Department","2019",""
"Human Trafficking, Commercial Sex Acts","University of Colorado - Boulder Police Department","2020",""
"Human Trafficking, Involuntary Servitude","University of Colorado - Boulder Police Department","2019",""
"Human Trafficking, Involuntary Servitude","University of Colorado - Boulder Police Department","2020",""
"Crimes Against Property","University of Colorado - Boulder Police Department","2019","770"
"Crimes Against Property","University of Colorado - Boulder Police Department","2020","792"
"Arson","University of Colorado - Boulder Police Department","2019","2"
"Arson","University of Colorado - Boulder Police Department","2020","8"
"Bribery","University of Colorado - Boulder Police Department","2019","2"
"Bribery","University of Colorado - Boulder Police Department","2020",""
"Burglary/Breaking & Entering","University of Colorado - Boulder Police Department","2019","28"
"Burglary/Breaking & Entering","University of Colorado - Boulder Police Department","2020","19"
"Counterfeiting/Forgery","University of Colorado - Boulder Police Department","2019","69"
"Counterfeiting/Forgery","University of Colorado - Boulder Police Department","2020","44"
"Destruction/Damage/Vandalism of Property","University of Colorado - Boulder Police Department","2019","198"
"Destruction/Damage/Vandalism of Property","University of Colorado - Boulder Police Department","2020","306"
"Embezzlement","University of Colorado - Boulder Police Department","2019",""
"Embezzlement","University of Colorado - Boulder Police Department","2020",""
"Extortion/Blackmail","University of Colorado - Boulder Police Department","2019","3"
"Extortion/Blackmail","University of Colorado - Boulder Police Department","2020","1"
