 County,Capacity,ADP in January,Jail Occupancy (ADP),Mar26,Apr2,Apr9,Apr 16,Apr 23,Apr 30,May 7,May 14,May 21,May 28,June 4,June 11,June 18,June 25,July 2,July 9,July 16,July 23,July 30,August 6,August 13,August 20,August 27,September 3,Sept 10,Sept 17,September 24,October 1,October 8,October 15,October 22,October 29,November 5,November 12,November 19,November 25,December 3,December 10,Dec 17,Dec 24,Dec 31,Jan 7,Jan 14,Jan 21,March ADP,N Change,% Change,Occupancy,Occupancy Change,Apr ADP,N change,% change,Occupancy ,Occupancy change,May ADP,N change,% change,Occupancy ,Occupancy Change,June ADP,N change,% change,Occupancy ,Occupancy Change,July ADP,N change,% change,Occupancy ,Occupancy Change,August ADP,N change,% change,Occupancy ,Occupancy Change,Sept ADP,N change,% change,Occupancy,Occupancy change,Oct ADP,N change,% change,Occupancy,Occupancy change,Nov ADP,N change,% change,Occupancy,Occupancy change,Dec ADP,N Change,% Change,Occupancy,Occupancy Change,Jan ADP,N Change,% Change,Occupancy,Occupancy Change,ADP FOR PANDEMIC,N change from ADP,% change between ADPS,Jail Occupancy (ADP),Occupancy % change,Cost Savings,ADP FOR PANDEMIC,N change from ADP,% change between ADPS,,
Adams,1271,983,77%,737,637,590,563,561,556,558,575,600,606,606,605,624,602,591,602,596,593,598,628,622,653,684,688,707,754,771,782,782,801,814,795,792,811,825,824,853,860,833,785,780,788,793,795,737,-246,-25%,58%,-19%,581,-402,-41%,46%,-32%,585,-398,-41%,46%,-31%,609,-374,-38%,48%,-29%,596,-387,-39%,47%,-30%,647,-336,-34%,51%,-26%,730,-253,-26%,57%,-20%,795,-188,-19%,63%,-15%,813,-170,-17%,64%,-295,822,-161,-16%,65%,-13%,792,-191,-19%,62%,-15%,689,-294,-30%,54%,-23%,"-$29,068.07",650,-333,-34%,,
Alamosa,163,77,47%,30,32,31,38,44,45,50,43,37,42,38,39,37,41,41,41,45,49,45,50,55,48,48,47,49,55,60,62,54,54,54,56,48,40,43,29,36,32,34,39,34,41,47,37,30,-47,-61%,18%,-29%,38,-39,-51%,23%,-24%,43,-34,-44%,26%,-21%,39,-38,-50%,24%,-23%,44,-33,-43%,27%,-20%,50,-27,-35%,31%,-16%,53,-24,-31%,32%,-15%,56,-21,-27%,34%,-13%,40,-37,-48%,25%,-34,35,-42,-55%,21%,-26%,42,-35,-46%,26%,-22%,44,-33,-43%,27%,-20%,"-$3,297.33",46,-31,-40%,,
Arapahoe,1174,1086,93%,935,720,689,663,644,633,618,623,623,621,608,604,604,599,608,584,591,599,580,589,591,574,608,623,639,658,644,648,659,666,678,679,698,708,686,698,693,694,674,662,654,654,654,654,935,-151,-14%,80%,-13%,670,-416,-38%,57%,-35%,621,-465,-43%,53%,-40%,604,-482,-44%,51%,-41%,592,-494,-45%,50%,-42%,591,-496,-46%,50%,-42%,641,-445,-41%,55%,-38%,666,-420,-39%,57%,-36%,698,-389,-36%,59%,-439,675,-411,-38%,58%,-35%,654,-432,-40%,56%,-37%,648,-438,-40%,55%,-37%,"-$43,285.13",628,-458,-42%,,
Baca,26,7,27%,5,5,5,5,5,5,5,6,5,7,4,4,5,5,4,4,3,4,3,2,2,3,2,4,3,4,3,6,6,6,4,4,3,3,3,4,4,4,6,6,8,8,8,8,5,-2,-29%,19%,-8%,5,-2,-29%,19%,-8%,6,-1,-18%,22%,-5%,5,-3,-36%,17%,-10%,4,-3,-49%,14%,-13%,2,-5,-68%,9%,-18%,4,-4,-50%,13%,-13%,5,-2,-26%,20%,-7%,3,-4,-54%,13%,-3,6,-1,-20%,22%,-5%,8,1,14%,31%,4%,5,-2,-34%,18%,-9%,-$235.84,4,-3,-39%,,
Boulder,519,414,80%,282,248,242,227,230,219,216,226,222,216,218,220,215,233,231,231,235,240,245,242,255,248,262,263,271,268,272,284,291,292,285,289,294,305,284,280,285,289,250,270,240,233,238,251,282,-132,-32%,54%,-25%,233,-181,-44%,45%,-35%,220,-194,-47%,42%,-37%,222,-193,-46%,43%,-37%,236,-178,-43%,46%,-34%,252,-162,-39%,49%,-31%,269,-146,-35%,52%,-28%,288,-126,-30%,56%,-24%,291,-123,-30%,56%,-161,267,-147,-36%,51%,-28%,241,-173,-42%,46%,-33%,254,-160,-39%,49%,-31%,"-$15,810.39",246,-168,-41%,,
Broomfield,218,99,45%,80,84,55,50,50,55,49,46,46,50,48,45,46,48,47,43,43,47,46,45,42,42,34,37,36,33,36,39,38,38,40,47,49,50,49,48,53,52,50,47,48,43,44,46,80,-19,-19%,37%,-9%,59,-40,-41%,27%,-18%,48,-51,-52%,22%,-24%,47,-52,-53%,21%,-24%,45,-54,-54%,21%,-25%,41,-58,-59%,19%,-27%,36,-64,-64%,16%,-29%,40,-59,-59%,19%,-27%,49,-50,-51%,22%,-53,50,-49,-49%,23%,-22%,44,-55,-55%,20%,-25%,47,-52,-53%,22%,-24%,"-$5,148.14",45,-54,-54%,,
Chaffee,105,77,73%,18,16,16,17,19,20,19,18,18,20,24,19,20,32,27,30,26,26,30,32,32,31,32,42,38,38,38,29,27,28,36,33,35,39,33,33,35,37,39,43,42,44,34,36,18,-59,-77%,17%,-56%,18,-59,-77%,17%,-57%,19,-58,-76%,18%,-55%,24,-53,-69%,23%,-51%,28,-49,-64%,26%,-47%,32,-45,-59%,30%,-43%,39,-38,-49%,37%,-36%,31,-46,-60%,29%,-44%,35,-42,-55%,33%,-48,39,-38,-49%,37%,-36%,38,-39,-51%,36%,-37%,30,-47,-62%,28%,-45%,"-$4,687.69",27,-50,-65%,,
Clear Creek,105,92,88%,51,50,51,50,49,48,48,42,42,45,46,41,48,44,48,50,49,50,52,53,55,58,61,59,58,55,54,58,60,59,56,51,52,56,54,53,54,52,55,51,50,52,52,53,51,-41,-45%,49%,-39%,50,-42,-46%,47%,-40%,44,-48,-52%,42%,-45%,45,-47,-51%,43%,-45%,50,-42,-46%,47%,-40%,57,-35,-38%,54%,-34%,57,-36,-39%,54%,-34%,57,-35,-38%,54%,-34%,54,-38,-42%,51%,-41,52,-40,-43%,50%,-38%,52,-40,-43%,50%,-38%,52,-40,-44%,49%,-38%,"-$3,982.40",51,-41,-44%,,
Conejos,82,27,33%,7,8,7,8,0,6,6,11,10,12,9,12,11,11,15,9,10,12,10,9,12,9,14,12,14,12,12,16,12,16,15,13,12,13,12,11,13,10,14,14,19,18,15,15,7,-20,-74%,9%,-24%,6,-21,-79%,7%,-26%,10,-17,-64%,12%,-21%,11,-16,-60%,13%,-20%,11,-16,-59%,14%,-19%,11,-16,-59%,13%,-20%,13,-15,-54%,15%,-18%,14,-13,-47%,18%,-15%,12,-15,-56%,15%,-16,14,-13,-48%,17%,-16%,16,-11,-41%,20%,-13%,12,-16,-57%,14%,-19%,"-$1,531.87",11,-16,-60%,,
Crowley,12,5.88,49%,1,2,1,0,0,0,1,3,3,1,2,3,5,3,4,4,4,4,5,6,5,2,7,6,5,3,3,3,6,7,12,9,7,3,2,3,2,5,3,4,6,7,7,9,1,-5,-83%,8%,-41%,1,-5,-90%,5%,-44%,2,-4,-66%,17%,-32%,3,-3,-45%,27%,-22%,4,-2,-29%,35%,-14%,5,-1,-15%,42%,-7%,4,-2,-28%,35%,-14%,7,2,26%,62%,13%,4,-2,-36%,31%,-2,4,-2,-32%,33%,-16%,8,2,30%,64%,15%,4,-2,-31%,34%,-15%,-$181.31,4,-2,-35%,,
